L_task,L_teacher,L_total,ablation,anchors,episode,grasp_success,joint_limit_violation,max_cloth_jump_m,seed,table_contact_ratio,task_success,teacher_on_eval,teacher_source,teacher_weight,wipe_coverage_m2,wipe_path_length_m
350.439336341735,20.00914574405336,350.439336341735,bc_initializer_only,27,4,True,True,1.0624275581740932,1,0.023060796645702306,False,,demonstration_proxy,0.0,0.1072,89.128442540723
390.7998826611058,1.8019840839777037,390.7998826611058,bc_initializer_only,26,5,True,True,1.0903409323632771,1,0.03398058252427184,False,,demonstration_proxy,0.0,0.0468,57.11690870514021
4769.509975614729,1.81549054813028,4769.509975614729,bc_initializer_only,18,6,True,True,1.0168318012386466,1,0.0214168039538715,False,,demonstration_proxy,0.0,0.11320000000000001,78.65500967777696
752.5298973294732,189.4532734954016,752.5298973294732,bc_initializer_only,22,0,False,True,0.0,1,0.0,False,,demonstration_proxy,0.0,0.0,0.0
990.5677232080443,172.20949475060183,990.5677232080443,task_loss_only,27,4,True,True,0.8179095834859931,1,0.028795811518324606,False,,demonstration_proxy,0.0,0.0672,35.62218782241423
1251.1626075786971,2.812056931237189,1251.1626075786971,task_loss_only,26,5,False,True,0.0,1,0.0,False,,demonstration_proxy,0.0,0.0,0.0
771.2958465586626,1.8922827207586832,771.2958465586626,task_loss_only,18,6,True,True,1.0325434377087823,1,0.04482758620689655,False,,demonstration_proxy,0.0,0.11480000000000001,77.39995019817431
114.22255107970214,2.0297281560064717,114.22255107970214,task_loss_only,22,0,False,True,0.0,1,0.0,False,,demonstration_proxy,0.0,0.0,0.0
183.54263515849257,3.926988211545077,187.46962337003765,task_plus_real_sparse_teacher,22,0,True,True,0.11582110576574275,1,0.033816425120772944,False,,frozen_unifolm_cache,1.0,0.09240000000000001,3.5798006627778816
2232.8328298035412,1.9364323975449358,2232.8328298035412,task_plus_real_sparse_teacher,27,4,True,True,1.007077030279977,1,0.03868471953578337,False,False,demonstration_proxy,0.0,0.07640000000000001,117.4808911221681
874.6078074955798,836160.03950618,874.6078074955798,task_plus_real_sparse_teacher,26,5,True,True,1.0785442124217746,1,0.05107252298263534,False,False,demonstration_proxy,0.0,0.1072,103.14448572642304
220.6694367432661,6.228731993378864,220.6694367432661,task_plus_real_sparse_teacher,18,6,True,True,0.889002689947876,1,0.03104575163398693,False,False,demonstration_proxy,0.0,0.10880000000000001,75.71199543021402
209.1388200143484,3.658845240419561,212.79766525476796,real_sparse_teacher_only,22,0,False,True,0.0,1,0.0,False,,frozen_unifolm_cache,1.0,0.0,0.0
990.5677232080443,172.20949475060183,990.5677232080443,best_vs_spsa:spsa,27,4,True,True,0.8179095834859931,1,0.028795811518324606,False,,demonstration_proxy,0.0,0.0672,35.62218782241423
1251.1626075786971,2.812056931237189,1251.1626075786971,best_vs_spsa:spsa,26,5,False,True,0.0,1,0.0,False,,demonstration_proxy,0.0,0.0,0.0
771.2958465586626,1.8922827207586832,771.2958465586626,best_vs_spsa:spsa,18,6,True,True,1.0325434377087823,1,0.04482758620689655,False,,demonstration_proxy,0.0,0.11480000000000001,77.39995019817431
114.22255107970214,2.0297281560064717,114.22255107970214,best_vs_spsa:spsa,22,0,False,True,0.0,1,0.0,False,,demonstration_proxy,0.0,0.0,0.0
990.5677232080443,172.20949475060183,990.5677232080443,best_vs_spsa:spsa,27,4,True,True,0.8179095834859931,1,0.028795811518324606,False,,demonstration_proxy,0.0,0.0672,35.62218782241423
1251.1626075786971,2.812056931237189,1251.1626075786971,best_vs_spsa:spsa,26,5,False,True,0.0,1,0.0,False,,demonstration_proxy,0.0,0.0,0.0
771.2958465586626,1.8922827207586832,771.2958465586626,best_vs_spsa:spsa,18,6,True,True,1.0325434377087823,1,0.04482758620689655,False,,demonstration_proxy,0.0,0.11480000000000001,77.39995019817431
114.22255107970214,2.0297281560064717,114.22255107970214,best_vs_spsa:spsa,22,0,False,True,0.0,1,0.0,False,,demonstration_proxy,0.0,0.0,0.0
276.0597328736062,1.8209737481160522,276.0597328736062,bc_initializer_only,27,4,True,True,0.9539068145497228,2,0.041019955654102,False,,demonstration_proxy,0.0,0.11599999999999999,101.93345342140663
3137.1609653203263,1.2661035167285053,3137.1609653203263,bc_initializer_only,26,5,False,True,0.0,2,0.0,False,,demonstration_proxy,0.0,0.0,0.0
939.4877229543478,1.7763542387361264,939.4877229543478,bc_initializer_only,18,6,True,True,0.8307276085420618,2,0.03820598006644518,False,,demonstration_proxy,0.0,0.0716,67.25188875968388
2216.0040562623176,2.511505328751892,2216.0040562623176,bc_initializer_only,22,0,True,True,0.9781246296853634,2,0.03571428571428571,False,,demonstration_proxy,0.0,0.12040000000000001,63.80637084933204
117.65822666166581,2.883451448477529,117.65822666166581,task_loss_only,27,4,True,True,0.4452404444578897,2,0.03225806451612903,False,,demonstration_proxy,0.0,0.0432,14.027247916676536
575.8591364446123,3.243039056372184,575.8591364446123,task_loss_only,26,5,False,True,0.0,2,0.0,False,,demonstration_proxy,0.0,0.0,0.0
73.45848211102225,2.7625191144438253,73.45848211102225,task_loss_only,18,6,True,True,1.0277522528799323,2,0.03436988543371522,False,,demonstration_proxy,0.0,0.1024,60.10888626863246
514.5688474280295,2.2347482310777362,514.5688474280295,task_loss_only,22,0,False,True,0.0,2,0.0,False,,demonstration_proxy,0.0,0.0,0.0
257.727738406543,3.7662968554280023,261.49403526197096,task_plus_real_sparse_teacher,22,0,True,True,0.8326116227232945,2,0.07853403141361257,False,,frozen_unifolm_cache,1.0,0.1032,39.58795993126463
1108.1462376570762,1.7173108619603294,1108.1462376570762,task_plus_real_sparse_teacher,27,4,False,True,0.0,2,0.0,False,False,demonstration_proxy,0.0,0.0,0.0
48.94923695728504,2.468669679803917,48.94923695728504,task_plus_real_sparse_teacher,26,5,True,True,0.49319516493459015,2,0.06688963210702341,False,False,demonstration_proxy,0.0,0.1348,41.35438006752954
1459.575032608353,2.6197488204472594,1459.575032608353,task_plus_real_sparse_teacher,18,6,True,True,0.906931631344286,2,0.054098360655737705,False,False,demonstration_proxy,0.0,0.0888,41.80142156551372
24.501937706423202,3.6005557125264946,28.1024934189497,real_sparse_teacher_only,22,0,True,True,0.9305892631010906,2,0.02992957746478873,False,,frozen_unifolm_cache,1.0,0.0916,57.50911301378437
117.65822666166581,2.883451448477529,117.65822666166581,best_vs_spsa:spsa,27,4,True,True,0.4452404444578897,2,0.03225806451612903,False,,demonstration_proxy,0.0,0.0432,14.027247916676536
575.8591364446123,3.243039056372184,575.8591364446123,best_vs_spsa:spsa,26,5,False,True,0.0,2,0.0,False,,demonstration_proxy,0.0,0.0,0.0
73.45848211102225,2.7625191144438253,73.45848211102225,best_vs_spsa:spsa,18,6,True,True,1.0277522528799323,2,0.03436988543371522,False,,demonstration_proxy,0.0,0.1024,60.10888626863246
514.5688474280295,2.2347482310777362,514.5688474280295,best_vs_spsa:spsa,22,0,False,True,0.0,2,0.0,False,,demonstration_proxy,0.0,0.0,0.0
117.65822666166581,2.883451448477529,117.65822666166581,best_vs_spsa:spsa,27,4,True,True,0.4452404444578897,2,0.03225806451612903,False,,demonstration_proxy,0.0,0.0432,14.027247916676536
575.8591364446123,3.243039056372184,575.8591364446123,best_vs_spsa:spsa,26,5,False,True,0.0,2,0.0,False,,demonstration_proxy,0.0,0.0,0.0
73.45848211102225,2.7625191144438253,73.45848211102225,best_vs_spsa:spsa,18,6,True,True,1.0277522528799323,2,0.03436988543371522,False,,demonstration_proxy,0.0,0.1024,60.10888626863246
514.5688474280295,2.2347482310777362,514.5688474280295,best_vs_spsa:spsa,22,0,False,True,0.0,2,0.0,False,,demonstration_proxy,0.0,0.0,0.0
