Generating SQLite file /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite from /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.nsys-rep
Processing [/home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite] with [/opt/nvidia/nsight-systems/2023.1.2/host-linux-x64/reports/cuda_gpu_trace.py]... 

 ** CUDA GPU Trace (cuda_gpu_trace):

  Start (ns)    Duration (ns)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MBps)  SrcMemKd  DstMemKd           Device           Ctx  Strm         Name       
 9,004,112,695     20,880,969   1,595  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,025,457,440          2,080   1,610  None  None  None  None  None  None  None     None          None               0.007          3,446.152  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,025,691,040          1,376   1,625  None  None  None  None  None  None  None     None          None               0.001            744.186  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,026,122,464        491,617   1,640  None  None  None  None  None  None  None     None          None               3.670          7,464.813  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,027,292,481      3,865,154   1,659  None  None  None  None  None  None  None     None          None              25.690          6,628.049  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,031,413,731          2,080   1,674  None  None  None  None  None  None  None     None          None               0.007          3,446.152  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,031,984,323      3,878,850   1,693  None  None  None  None  None  None  None     None          None              25.690          6,602.359  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,036,118,501          1,408   1,708  None  None  None  None  None  None  None     None          None               0.001            727.272  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,036,512,421        460,992   1,723  None  None  None  None  None  None  None     None          None               3.670          7,960.265  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,037,209,189          2,080   1,738  None  None  None  None  None  None  None     None          None               0.007          3,446.152  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,038,470,182     21,108,169   1,769  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,060,998,191     20,935,817   1,798  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,083,484,601     21,077,833   1,829  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,105,022,530          2,336   1,844  None  None  None  None  None  None  None     None          None               0.007          3,068.492  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
